position,positionLabel,ofLabel,jurisdictionLabel,people,example
Q121998,ambassador,,,4,Q620581
Q83307,minister,,<noval>,3,Q88312064
Q30277603,Member of the Pan-African Parliament,,African Union,1,Q722327
Q98598864,President of the ECOWAS Commission,,West Africa,1,Q620581
Q19161632,chairperson of the Organisation of African Unity,,,1,Q57324
Q11247470,commanding officer,,,1,Q110666454
Q30461,president,Patriotic Movement for Safeguard and Restoration,,1,Q110666454
