@@,item,itemlabel,gender,position,positionlabel,startdate,enddate,psid
---,Q114835874,,male,Q28133105,Premier ministre du Burkina Faso,2022-10-21,,Q114835874-50317833-44ac-a4cb-0c43-e77d18cab753
---,Q114703368,Abdoulaye Tall,male,Q114698255,Ministre du Développement industriel et du Commerce,2022-03-05,,Q114703368-A1536580-1E26-440F-962D-A7751BFE257B
---,Q114341246,Ibrahim Traoré,male,Q20995488,président du Burkina Faso,2022-09-30,,Q114341246-2a8ab14a-44e3-3270-6eaf-31b2c449e55c
+++,,Jacques Sosthène DINGARA,,,Secrétaire général du Gouvernement et du conseil des ministres,,,
---,Q111184239,Olivia Ragnaghnewendé Rouamba,female,Q18204360,ministre des affaires étrangères au Burkina Faso,2022-03-05,,Q111184239-5E74A26A-F3AC-4A74-BC5F-51307350D187
