item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q110703827,Lionel BILGO,male,Q112709348,"Ministre de l'éducation nationale, de l'alphabétisation et de la promotion des langues nationales",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q110703827-BD8ECB93-4440-4ED1-9B03-9264D7262B7B
Q111184239,Olivia Ragnaghnewendé Rouamba,female,Q18204360,ministre des affaires étrangères au Burkina Faso,2022-03-05,,,,Q111184239-5E74A26A-F3AC-4A74-BC5F-51307350D187
Q111223572,Valerie KABORE,female,Q114698027,"Ministre de la communication, de la culture ,des arts et du tourisme",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q111223572-F3E9DADE-38AB-4511-948A-9A8775BA69BA
Q112391604,Salimata NEBIE/CONDOMBO,female,Q114698063,Ministre du genre et de la famille,2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q112391604-9195B51B-06BD-45BC-864E-6F799B547457
Q113623274,Aminata ZERBO/SABANE,female,Q113623389,"Ministre de la transition digitale, des postes et des communications électroniques",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q113623274-38bd49f2-4e92-94ab-ff0a-842f4887a01f
Q113961437,Gal Aimé Barthélémy SIMPORÉ,male,Q113961433,"Ministre d'Etat, ministre de la Défense et des anciens Combattants",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q113961437-2F01CB4D-6C4D-45E9-9E9B-27FFDB18FF7C
Q114341246,Ibrahim Traoré,male,Q20995488,président du Burkina Faso,2022-09-30,,,,Q114341246-2a8ab14a-44e3-3270-6eaf-31b2c449e55c
Q114703367,Wabou ZERBO,male,Q114698321,"Ministre des sports, de la jeunesse et de l'emploi",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703367-F01342F9-9314-43B1-983D-9AB55BAE58AF
Q114703368,Abdoulaye Tall,male,Q114698255,Ministre du Développement industriel et du Commerce,2022-03-05,,,,Q114703368-A1536580-1E26-440F-962D-A7751BFE257B
Q114703369,Bassolma BAZIE,male,Q114698388,"Ministre de la fonction publique, du travail et de la protection sociale",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703369-1468CA64-B708-460F-AD03-F9AF0DBE13BA
Q114703370,Boukary SAVADOGO,male,Q114698273,"Ministre de l'urbanisme, des affaires foncières et de l'habitat",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703370-57BC8E49-DE72-4EE7-ABEF-429E63625F27
Q114703371,Brigitte Marie Suzanne COMPAORE/YONI,female,Q114702976,"Ministre déléguée auprès du ministre de l'économie, des finances et de la prospective . Chargé du budget.",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703371-59A8C8D7-84D5-43A0-BE1A-BC63659A72C9
Q114703372,Colonel Major Charles Josaphat ZOUNGRANA,male,Q114698286,Ministre des infrastructures et du désenclavement,2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703372-630B0C6A-A78A-4FAA-B4ED-1987D7E9DBAC
Q114703373,Frédéric OUATTARA,male,Q114698210,"Ministre de l' enseignement supérieur, de la recherche et de l'Innovation",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703373-88FF5519-AEDE-48AC-8CE0-BFABEDCA31B6
Q114703374,Innocent KIBA,male,Q114698182,"Ministre de l'agriculture, des ressources animales et halieutiques",2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703374-427F52B8-A000-4425-ADF8-904A45B404EF
Q114703375,Issaka Sourwema,male,Q114703309,Ministre des affaires religieuses et coutumières,2022-03-05,,https://www.presidencedufaso.bf/composition-du-gouvernement/,2022-10-16,Q114703375-73ACCDFD-DA94-4B12-B9E6-7FE80D17A01B
