itemLabel,positionLabel
Yéro BOLY,"Ministre d’Etat, Ministre auprès du Président du Faso chargé de la Réconciliation nationale et de la Cohésion sociale"
Gal Aimé Barthélémy SIMPORÉ,"Ministre d'Etat, ministre de la Défense et des anciens Combattants"
Colonel Major Omer BATIONO,"Ministre de l’Administration territoriale, de la Décentralisation et de la Sécurité"
Maitre Barthélémy KERE,"Ministre de la justice et des Droits humains, chargé des relations avec les institutions. Garde des Sceaux"
Lucien Robert Jean Claude KARGOUGOU,Ministre de la Santé et de l'hygiène Publique
Séglaro Abel SOME,"Ministre de l'Economie, des finances et de la prospective"
Lazare WIndlassida ZOUNGRANA,Ministre de la solidarité nationale et de l'action humanitaire
Issaka Sourwema,Ministre des affaires religieuses et coutumières
Innocent KIBA,"Ministre de l'agriculture, des ressources animales et halieutiques"
Maminata TRAORE/ COULIBALY,"Ministre de l'environnement, de l'énergie de l'eau et de l'assainissement"
Frédéric OUATTARA,"Ministre de l' enseignement supérieur, de la recherche et de l'Innovation"
Jean Alphonse SOME,Ministre des mines et des carrières
Colonel Major Charles Josaphat ZOUNGRANA,Ministre des infrastructures et du désenclavement
Lionel BILGO,"Ministre de l'éducation nationale, de l'alphabétisation et de la promotion des langues nationales"
Valerie KABORE,"Ministre de la communication, de la culture ,des arts et du tourisme"
Bassolma BAZIE,"Ministre de la fonction publique, du travail et de la protection sociale"
Aminata ZERBO/SABANE,"Ministre de la transition digitale, des postes et des communications électroniques"
Salimata NEBIE/CONDOMBO,Ministre du genre et de la famille
Mahamoudou ZAMPALIGRE,"Ministre des transport, de la mobilité urbaine et de la sécurité routière"
Boukary SAVADOGO,"Ministre de l'urbanisme, des affaires foncières et de l'habitat"
Wabou ZERBO,"Ministre des sports, de la jeunesse et de l'emploi"
Brigitte Marie Suzanne COMPAORE/YONI,"Ministre déléguée auprès du ministre de l'économie, des finances et de la prospective . Chargé du budget."
Karamoko Jean Marie TRAORE,"Ministre délégué auprès du ministre des affaires étrangères, de la coopération régionale et des burkinabè de l' extérieur, chargé de la coopération."
Jacques Sosthène DINGARA,Secrétaire général du Gouvernement et du conseil des ministres
