pageid,title,wikidata,label
63460827,Stanislas Ouaro,Q12897461,Stanislas Ouaro
71815120,Olivia Rouamba,Q111184239,Olivia Ragnaghnewendé Rouamba
71882148,Ibrahim Traoré,Q114341246,Ibrahim Traore
71974301,Alassane Bala Sakandé,Q78185212,Alassane Bala Sakandé
