who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
69868896,,,,,,,,,0
69868896,Patriotic Movement for Safeguard and Restoration,President of the Patriotic Movement for Safeguard and Restoration,2022-01-24,2022-09-30,,,Q114341246,Ibrahim Traore,1
69868896,Q20995488,Interim President of Burkina Faso,2022-01-31,2022-09-30,Q599988,Roch Marc Christian Kaboré,Q114341246,Ibrahim Traore,2
69868896,,Minister of National Defence and Veterans,2022-09-12,2022-09-30,Aimé Barthélemy Simporé,Aimé Barthélemy Simporé,,Vacant,3
