who,position,positionLabel,startDate,endDate,replaces,replacesLabel,replacedBy,replacedByLabel,posidx
71882148,List of heads of state of Burkina Faso,Interim President of Burkina Faso,2022-10-06,,Q110666454,Paul-Henri Sandaogo Damiba,,,0
71882148,Patriotic Movement for Safeguard and Restoration,President of the Patriotic Movement for Safeguard and Restoration,2022-09-30,,Q110666454,Paul-Henri Sandaogo Damiba,,,1
