item,itemLabel,startDate,endDate,sourceDate,psid
Q620581,Kadré Désiré Ouedraogo,1996-02-06,2000-11-06,,Q620581-71974141-9A1F-4AD8-9B4C-923E77FF80DF
Q434742,Paramanga Ernest Yonli,2000-11-06,2007-06-03,,Q434742-B4A60781-329A-4448-BC2B-EAAC7EE22644
Q354710,Tertius Zongo,2007-06-11,2011-04-18,,Q354710-627B2C3E-81AF-461A-9E41-A5A07C18E4E3
Q57882,Luc-Adolphe Tiao,2011-04-18,2014-10-30,,Q57882-0c7a11ed-44da-585a-0144-bebfc35e1e0c
Q18402168,Yacouba Isaac Zida,2014-11-19,2015-09-17,,Q18402168-12D38F77-D800-4DCF-A338-4D8A273483BE
Q18402168,Yacouba Isaac Zida,2015-09-23,2015-12-29,,Q18402168-479cdff2-4a86-4a3a-f86f-d129bea5590a
Q22043905,Paul Kaba Thieba,2016-01-13,2019-01-21,,Q22043905-f990728b-4461-0f05-ec6d-2a9025d7dab3
Q60813372,Christophe Joseph Marie Dabiré,2019-01-24,2021-12-08,,Q60813372-CDE4CFA2-23E8-425B-B143-902A58BC9FC4
Q21062160,Lassina Zerbo,2021-12-11,2022-01-23,,Q21062160-AD84D623-0CBF-481F-B600-95A95E30242A
Q111131079,Albert Ouédraogo,2022-03-03,,,Q111131079-6DE4AD90-C5E7-4A29-86DD-397B4E41297C
