item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q110666454,Paul-Henri Sandaogo Damiba,male,Q20995488,président du Burkina Faso,2022-01-24,2022-09-30,,,Q110666454-21632339-917E-431B-A293-4E7D15196419
Q110703827,Lionel BILGO,male,Q112709348,"Ministre de l’Education Nationale, de l’Alphabétisation et de la Promotion des Langues Nationales",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q110703827-BD8ECB93-4440-4ED1-9B03-9264D7262B7B
Q111131079,Albert Ouédraogo,male,Q28133105,Premier ministre,2022-03-03,2022-09-30,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q111131079-6DE4AD90-C5E7-4A29-86DD-397B4E41297C
Q111184239,Olivia Ragnaghnewendé ROUAMBA,female,Q18204360,"Ministre des Affaires Étrangères, de la Coopération Régionale et des Burkinabé de l’Extérieur",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q111184239-5E74A26A-F3AC-4A74-BC5F-51307350D187
Q111223572,Valérie KABORE,female,Q114698027,"Ministre de la Communication, de la Culture, des Arts et du Tourisme",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q111223572-F3E9DADE-38AB-4511-948A-9A8775BA69BA
Q112391604,Salimata NEBIE/CONOMBO,female,Q114698063,Ministre du Genre et de la Famille,2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q112391604-9195B51B-06BD-45BC-864E-6F799B547457
Q113623274,Aminata ZERBO/SABANE,female,Q113623389,"Ministre de la Transition Digitale, des Postes et des Communications Électroniques",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q113623274-38bd49f2-4e92-94ab-ff0a-842f4887a01f
Q113961437,Aimé Barthélémy SIMPORE,male,Q113961433,Ministre d’Etat Ministre de la Défense et des Anciens Combattants,2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q113961437-2F01CB4D-6C4D-45E9-9E9B-27FFDB18FF7C
Q114703367,Abdoul Wabou DRABO,,Q114698321,"Ministre des Sports, de la Jeunesse et de l’Emploi",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q114703367-F01342F9-9314-43B1-983D-9AB55BAE58AF
Q114703368,Abdoulaye TALL,,Q114698255,"Ministre du Développement Industriel, du Commerce, de l’Artisanat et des Petites et Moyennes Entreprises",2022-03-05,,https://www.leconomistedufaso.bf/2022/03/06/nouveaux-gouvernment-i-du-premier-ministre-le-dr-albert-ouedraogo/,2022-10-16,Q114703368-A1536580-1E26-440F-962D-A7751BFE257B
