itemLabel,positionLabel,gender,startdate
Albert Ouédraogo,Premier ministre,male,
Yero BOLY,"Ministre d’Etat auprès du Président du Faso, chargé de la Cohésion Sociale et de la Réconciliation Nationale",male,2022-03-05
Aimé Barthélémy SIMPORE,Ministre d’Etat Ministre de la Défense et des Anciens Combattants,,2022-03-05
Omer BATIONO,"Ministre de l’Administration Territoriale, de la Décentralisation et de la Sécurité",,2022-03-05
Olivia Ragnaghnewendé ROUAMBA,"Ministre des Affaires Étrangères, de la Coopération Régionale et des Burkinabé de l’Extérieur",female,2022-03-05
Maitre Bathélémy KERE,"Ministre de la Justice et des Droits Humains, chargé des relations avec les institutions, Garde des Sceaux",,2022-03-05
Séglaro Abel SOME,Ministre de l’Économie des Finances et de la Prospective,male,2022-03-05
Robert Lucien Jean Claude KARGOUGOU,Ministre de la Santé et de l’Hygiène Publique,,2022-03-05
Lazare Windlassida ZOUNGRANA,Ministre de la Solidarité Nationale et de l’Action Humanitaire,male,2022-03-05
Issaka SOURWEMA,Ministre des Affaires Religieuses et Coutumières,male,2022-03-05
Innocent KIBA,"Ministre de l’Agriculture, des Ressources Animales et Halieutiques",male,2022-03-05
Maminata TRAORE/COULIBALY,"Ministre de l’Environnement, de l’Energie, de l’Eau et de l’Assainissement",female,2022-03-05
Frédéric OUATTARA,"Ministre de l’Enseignement Supérieur, de la Recherche et de l’Innovation",male,2022-03-05
Jean Alphonse SOME,Ministre des Mines et des Carrières,male,2022-03-05
Charles Josaphat ZOUNGRANA,Ministre des Infrastructures et du Désenclavement,,2022-03-05
Lionel BILGO,"Ministre de l’Education Nationale, de l’Alphabétisation et de la Promotion des Langues Nationales",male,2022-03-05
Valérie KABORE,"Ministre de la Communication, de la Culture, des Arts et du Tourisme",female,2022-03-05
Bassolma BAZIE,"Ministre de la Fonction Publique, du Travail et de la Protection Sociale",male,2022-03-05
Aminata ZERBO/SABANE,"Ministre de la Transition Digitale, des Postes et des Communications Électroniques",female,2022-03-05
Abdoulaye TALL,"Ministre du Développement Industriel, du Commerce, de l’Artisanat et des Petites et Moyennes Entreprises",male,2022-03-05
Salimata NEBIE/CONOMBO,Ministre du Genre et de la Famille,female,2022-03-05
Mahamoudou ZAMPALIGRE,"Ministre des Transports, de la Mobilité Urbaine et de la Sécurité Routière",male,2022-03-05
Boukary SAVADOGO,"Ministre de l’Urbanisme, des Affaires Foncières et de l’Habitat",male,2022-03-05
Abdoul Wabou DRABO,"Ministre des Sports, de la Jeunesse et de l’Emploi",male,2022-03-05
Brigitte Marie Suzanne COMPAORE/YONI,"Ministre Délégué auprès du Ministre de l’Économie, des Finances et de la Prospective, chargé du Budget",female,2022-03-05
Karamoko Jean Marie TRAORE,"Ministre Délégué auprès du Ministre des Affaires Étrangères, de la Coopération Régionale et des Burkinabé de l’Extérieur, chargé de la Coopération",male,2022-03-05
