positionlabel,position
"Ministère de la Communication et des Relations avec le Parlement, Porte-parole du Gouvernement",Q114698027
"Ministère de la Culture, des Arts et du Tourisme",Q114698053
Ministère de la Défense nationale et des Anciens Combattants,Q113961433
"Ministère de la Femme, de la Solidarité nationale, de la Famille et de l’Action humanitaire",Q114698063
"Ministère de la Fonction publique, du Travail et de la Protection sociale",Q114698388
"Ministère de la Jeunesse, de la Promotion de l’Entrepreneuriat et de l’Emploi",Q114698133
"Ministère de la Justice, des Droits humains et de la Promotion civique, Garde des Sceaux",Q114698148
Ministère de la Sécurité,Q114698152
Ministère de l’Administration Territoriale et de la Décentralisation,Q114698173
"Ministère de l’Agriculture, des Aménagements hydro-agricoles et de la Mécanisation",Q114698182
Ministère de l’Eau et de l’Assainissement,Q114698190
"Ministère de l’Enseignement supérieur, de la Recherche scientifique et de l’Innovation",Q114698210
"Ministère de l’Environnement, de l’Economie verte et du Changement climatique",Q114698220
"Ministère de l’Industrie, du Commerce et de l’Artisanat",Q114698255
"Ministère de l’Urbanisme, de l’Habitat et de la Ville",Q114698273
"Ministère de l’Énergie, des Mines et des Carrières",Q114698280
Ministère des Infrastructures et du Désenclavement,Q114698286
Ministère des Ressources animales et halieutiques,Q114698306
Ministère des Sports et des Loisirs,Q114698321
"Ministère des Transports, de la Mobilité urbaine et de la Sécurité routière",Q114698339
