@@,item,itemlabel,position,positionlabel,enddate,psid
---,Q60813372,Christophe Dabiré,Q28133105,Premier ministre du Burkina Faso,2021-12-08,Q60813372-CDE4CFA2-23E8-425B-B143-902A58BC9FC4
---,Q599988,Roch Marc Christian Kaboré,Q20995488,président du Burkina Faso,2022-01-23,Q599988-D015613B-FE09-4C41-9B05-AA700C1930CC
