item,itemLabel,rank,pob,pobLabel,hasCountry,hasAdmin,hasref,refitem,exurl,wmurl,wmproj
Q105989458,Elise Foniyama Thiombioano Ilboudo,,,,,,false,,,,
Q106631627,Charlemagne Ouédraogo,,,,,,false,,,,
Q108419389,Ousséni Tamboura,NormalRank,Q3777,Ouagadougou,true,true,false,,,,
Q108783686,Dominique Marie André Nana,NormalRank,Q65167238,Q65167238,true,true,true,false,false,true,true
Q108783686,Dominique Marie André Nana,NormalRank,Q999716,Toussiana Department,true,true,true,false,false,true,true
Q1103939,Clément Sawadogo,NormalRank,Q965,Burkina Faso,true,true,true,false,false,false,true
Q110666454,Paul-Henri Sandaogo Damiba,NormalRank,Q3777,Ouagadougou,true,true,true,false,false,false,true
Q110703827,Lionel Bilgo,,,,,,false,,,,
Q111131079,Albert Ouédraogo,NormalRank,Q999493,Dori,true,true,true,false,false,false,true
Q111184239,Olivia Ragnaghnewendé Rouamba,,,,,,false,,,,
Q111223572,Valérie Kaboré,NormalRank,Q271000,Bouaké,true,true,true,false,false,false,true
Q112030717,Nicolas Meda,,,,,,false,,,,
Q112391604,Salimata Nébié Conombo,,,,,,false,,,,
Q113623274,Aminata Zerbo-Sabané,NormalRank,Q1515,Abidjan,true,true,true,false,false,false,true
Q113961437,Aimé Barthélemy Simporé,,,,,,false,,,,
Q114341246,Ibrahim Traore,NormalRank,Q15067510,Bondokuy,true,true,false,,,,
Q114698645,Moussa Kaboré,,,,,,false,,,,
Q114698675,Ollo Franck Kansié,,,,,,false,,,,
Q114698785,Maxime Lomboza Koné,,,,,,false,,,,
Q114698846,Alkassoum Maïga,,,,,,false,,,,
Q114698848,Modeste Yerbanga,,,,,,false,,,,
Q114698849,Ousmane Nacro,,,,,,false,,,,
Q114698850,Ousséni Compaoré,,,,,,false,,,,
Q114698851,Salifo Tiemtoré,,,,,,false,,,,
Q114698852,Séni Mahamadou Ouedraogo,,,,,,false,,,,
Q114698853,Victoria Ouédraogo,,,,,,false,,,,
Q114702891,Smaïla Ouédraogo,,,,,,false,,,,
Q114702905,Christophe Ilboudo,,,,,,false,,,,
Q114702953,Mathias Tankoano,,,,,,false,,,,
Q114702996,Abdoulaye Bamogo,,,,,,false,,,,
Q114702997,Bowendsom Claudine Valérie Rouamba/Ouedraogo,,,,,,false,,,,
Q114702998,Fati Ouedraogo/Zizien,,,,,,false,,,,
Q114702999,Martine Kouda/Pabeyam,,,,,,false,,,,
Q114703367,Abdoul Wabou Drabo,,,,,,false,,,,
Q114703368,Abdoulaye Tall,,,,,,false,,,,
Q114703369,Bassolma Bazie,,,,,,false,,,,
Q114703370,Boukary Savadogo,,,,,,false,,,,
Q114703371,Brigitte Marie Suzanne Compaore-Yoni,,,,,,false,,,,
Q114703372,Charles Josaphat Zoungrana,,,,,,false,,,,
Q114703373,Frédéric Ouattara,,,,,,false,,,,
Q114703374,Innocent Kiba,,,,,,false,,,,
Q114703375,Issaka Sourwema,,,,,,false,,,,
Q114703376,Jean Alphonse Some,,,,,,false,,,,
Q114703377,Karamoko Jean Marie Traore,,,,,,false,,,,
Q114703378,Lazare Windlassida Zoungrana,,,,,,false,,,,
Q114703379,Mahamoudou Zampaligre,,,,,,false,,,,
Q114703380,Maitre Bathélémy Kere,,,,,,false,,,,
Q114703381,Maminata Traore-Coulibaly,,,,,,false,,,,
Q114703382,Omer Bationo,,,,,,false,,,,
Q114703383,Robert Lucien Jean Claude Kargougou,,,,,,false,,,,
Q114703384,Séglaro Abel Some,,,,,,false,,,,
