item,itemLabel,gender,position,positionLabel,startDate,endDate,source,sourceDate,psid
Q106631627,Charlemagne Marie Ragnag-Newendé OUEDRAOGO,male,Q112030491,"Ministre de la Santé, de l'Hygiène Publique et du Bien-être",2021-01-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q106631627-221ccd27-4a23-41e4-dfc2-8d51575dab2c
Q108419389,Ousséni TAMBOURA,male,Q114698027,"Ministre de la Communication, des Relations avec le Parlement, de la Culture, des Arts, et du Tourisme",2021-01-14,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q108419389-4D2AB2E3-61C8-45A3-A01D-CA71E47898BB
Q113961437,Aimé Barthelemy SIMPORE,male,Q113961433,Ministre des Armées et des Anciens Combattants,2021-12-10,2022-01-23,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q113961437-F1168DB5-64E3-44D0-AD12-2553EA8B4894
Q114698645,Moussa KABORE,,Q114698306,"Ministre de l'Agriculture, des Aménagements Hydro-agricoles, de la Mécanisation et des Ressources animales et halieutiques",2021-12-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698645-A96E55F0-EF87-497F-9F4D-0DE5705A92D7
Q114698675,Ollo Franck KANSIE,,Q114698286,Ministre des Infrastructures et du Désenclavement,2021-12-10,2022-01-23,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698675-3272A3E2-19DA-4FBF-93B8-C61C2402F7D0
Q114698785,Maxime KONE,,Q114698173,"Ministre de l'Administration territoriale, de la Décentralisation et de la Sécurité",2021-12-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698785-2EE05A9D-68AE-443A-B2F8-1540151DBE8B
Q114698846,Alkassoum MAÏGA,,Q114698210,"Ministre de l'Enseignement Supérieur, de la Recherche et de l'Innovation. Porte-parole du Gouvernement",2021-01-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698846-B51374EC-9FC9-49FA-95B0-DDCF534A02BC
Q114698849,Ousmane NACRO,,Q114698190,Ministre de l'Eau et de l'Assainissement,2021-01-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698849-69792AB6-D348-4D2F-9B11-CA485D54D5E3
Q114698852,Séni Mahamadou OUEDRAOGO,,Q114698388,"Ministre de la Fonction Publique, du Travail et de la Protection sociale",2021-01-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698852-861BF910-E77E-4733-A3C2-657929DF4732
Q114698853,Victoria OUEDRAOGO/KIBORA,,Q114698148,"Ministre de la Justice, des Droits Humains et de la Promotion Civique, Garde des Sceaux",2021-01-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114698853-5A92DE39-8248-49E1-8969-A98D3B3237E4
Q114702891,Smaila OUEDRAOGO,,Q114698220,Ministre de la Transition Écologique et de l'Environnement,2021-12-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114702891-0AA9143D-D3A7-4DAC-BC1E-DAF3F8F76069
Q114702905,Christophe ILBOUDO,,Q114698255,"Ministre du Développement industriel, du Commerce, de l'Artisanat et des Petites et Moyennes Entreprises",2021-12-10,2022-01-24,https://bf1.tv/post/bukina-faso-voici-la-liste-du-gouvernement-du-nouveau-premier-ministre-lassina-zerbo_597,2022-10-16,Q114702905-AF475041-4A06-4D0F-BE69-68C454E63679
