positionlabel,position
"Ministre Déléguée auprès du Ministre de l'Économie, des Finances et du Plan, chargée du Budget",Q114702976
"Ministre Déléguée auprès du Ministre de la Communication, des Relations avec le Parlement, de la Culture, des Arts et du Tourisme, chargée de la Culture, des Arts et du Tourisme",Q114702985
"Ministre d'État, Ministre auprès du Président du Faso, chargé de la Réconciliation nationale et de la Cohésion sociale",Q114702987
Ministre de la Prospective et des Réformes Structurelles,Q114702993
Ministre des Armées et des Anciens Combattants,Q113961433
Ministre des Infrastructures et du Désenclavement,Q114698286
"Ministre du Genre, de la Solidarité nationale, de la Famille et de L’Action humanitaire",Q114698063
