position,person,personID,start,end
President,Ibrahim Traore,Q114341246,2022-09-30,
Prime Minister,Apollinaire Joachim Kyélem de Tambèla,Q114835874,2022-10-21,
Minister of Agriculture,Innocent Kiba,Q114703374,2022-03-05,
Minister of Defence,Aimé Barthélemy Simporé,Q113961437,2022-03-05,
"Minister of Digital Transition, Posts and Electronic Communications",Aminata Zerbo-Sabané,Q113623274,2022-03-05,
Minister of Education,Lionel Bilgo,Q110703827,2022-03-05,
Minister of Energy and Mines,Jean Alphonse Some,Q114703376,2022-03-05,
Minister of Environment,Maminata Traore-Coulibaly,Q114703381,2022-03-05,
Minister of Finance,Séglaro Abel Some,Q114703384,2022-03-05,
Minister of Foreign Affairs,Olivia Ragnaghnewendé Rouamba,Q111184239,2022-03-05,
Minister of Gender and Family,Salimata Nébié Conombo,Q112391604,2022-03-05,
Minister of Health,Robert Lucien Jean Claude Kargougou,Q114703383,2022-03-05,
Minister of Higher Education,Frédéric Ouattara,Q114703373,2022-03-05,
Minister of Industry and Commerce,Abdoulaye Tall,Q114703368,2022-03-05,
Minister of Infrastructure,Charles Josaphat Zoungrana,Q114703372,2022-03-05,
Minister of Justice,Maitre Bathélémy Kere,Q114703380,2022-03-05,
Minister of National Solidarity and Humanitarian Action,Lazare Windlassida Zoungrana,Q114703378,2022-03-05,
Minister of Public Service,Bassolma Bazie,Q114703369,2022-03-05,
Minister of Religious Affairs,Issaka Sourwema,Q114703375,2022-03-05,
Minister for Social Cohesion and National Reconciliation,Yéro Boly,Q8062562,2022-03-05,
Minister of Sports and Recreation,Abdoul Wabou Drabo,Q114703367,2022-03-05,
Minister of Territorial Administration,Omer Bationo,Q114703382,2022-03-05,
Minister of Transport,Mahamoudou Zampaligre,Q114703379,2022-03-05,
Minister of Urban Planning and Housing,Boukary Savadogo,Q114703370,2022-03-05,
Minister Delegate for Econmy,Brigitte Marie Suzanne Compaore-Yoni,Q114703371,2022-03-05,
Minister Delegate for Foreign Affairs,Karamoko Jean Marie Traore,Q114703377,2022-03-05,
President of the National Assembly,Alassane Bala Sakandé,Q78185212,2017-09-08,
