@@,itemlabel,positionlabel
---,Séglaro Abel Some,Minister of Finance of Burkina Faso
->,Olivia Ragnaghnewendé Rouamba,"Minister of Foreign Affairs of Burkina Faso->Minister of Foreign Affairs, Regional Co-operation and Burkinabè Abroad"
+++,Séglaro Abel Somé,"Minister of the Economy, Finance and Planning"
